# Const.Quarks: yproj=  0.740 ycut/yproj=  1.000
# time(fm/c) N(det) px(dir) v1 v2 eps eps(t) px^2 py^2 pt^2 alp Edir N(det-all) N(all) px(dir) v1 v2
# 1          2      3       4  5  6   7      8    9    10   11  12         13     14      15 16
  10.50  1.70E+00 -1.17E-02  3.98E-02  1.25E-01  1.14E-01  1.08E-01  2.74E-02  3.08E-02  2.16E-01  1.19E-01  1.00E+00  1.70E+00  1.00E+00 -1.17E-02  3.98E-02  1.25E-01
  10.80  1.20E+00 -2.47E-02 -1.58E-01 -5.84E-02 -1.47E-01 -1.43E-01  2.05E-02  2.46E-02  1.90E-01  1.03E-01  1.00E+00  1.20E+00  1.00E+00 -2.47E-02 -1.58E-01 -5.84E-02
  11.10  7.00E-01  2.57E-02 -4.04E-02  3.60E-02  2.13E-01  2.25E-01  2.54E-02  2.43E-02  2.06E-01  1.14E-01  1.00E+00  9.00E-01  1.00E+00  7.15E-03 -6.03E-02  1.01E-01
  11.40  8.00E-01  9.67E-03  2.31E-01  3.41E-01  6.90E-01  6.83E-01  2.69E-02  1.02E-02  1.81E-01  9.34E-02  1.00E+00  1.30E+00  1.00E+00  3.27E-02  2.33E-01  3.53E-01
  11.70  1.10E+00 -1.02E-01 -3.61E-01  6.68E-02  2.47E-01  2.52E-01  2.84E-02  4.46E-02  2.36E-01  1.43E-01  1.00E+00  1.50E+00  1.00E+00 -9.69E-02 -4.00E-01  1.27E-01
  12.00  1.80E+00 -8.90E-02 -3.29E-01 -1.33E-01 -1.06E-01 -1.01E-01  3.29E-02  3.73E-02  2.49E-01  1.47E-01  1.00E+00  1.80E+00  1.00E+00 -8.90E-02 -3.29E-01 -1.33E-01
  12.30  9.00E-01 -1.98E-02  2.79E-02 -2.66E-01  5.23E-01  5.32E-01  2.34E-02  1.97E-02  1.87E-01  9.98E-02  1.00E+00  9.00E-01  1.00E+00 -1.98E-02  2.79E-02 -2.66E-01
  12.60  1.00E+00  3.92E-02  6.89E-02 -3.34E-01 -2.53E-01 -2.57E-01  1.98E-02  4.44E-02  2.34E-01  1.38E-01  1.00E+00  1.00E+00  1.00E+00  3.92E-02  6.89E-02 -3.34E-01
  12.90  1.70E+00  8.80E-02  4.08E-01 -1.30E-01 -4.77E-02 -4.54E-02  4.26E-02  5.21E-02  2.78E-01  1.78E-01  1.00E+00  1.80E+00  1.00E+00  7.93E-02  3.40E-01 -1.03E-01
  13.20  8.00E-01  6.96E-02  4.27E-02 -4.65E-01  2.09E-01  2.01E-01  2.71E-02  7.81E-02  2.80E-01  1.61E-01  1.00E+00  8.00E-01  1.00E+00  6.96E-02  4.27E-02 -4.65E-01
  13.50  1.00E+00  1.87E-02  5.20E-02 -1.76E-01 -3.05E-01 -3.03E-01  2.08E-02  3.35E-02  2.13E-01  1.22E-01  1.00E+00  1.10E+00  1.00E+00  1.11E-02 -3.94E-02 -8.56E-02
  13.80  7.00E-01  8.20E-02  3.58E-01 -9.44E-02 -1.98E-01 -1.95E-01  3.73E-02  4.87E-02  2.67E-01  1.67E-01  1.00E+00  1.00E+00  1.00E+00  6.48E-02  3.94E-01  8.45E-03
  14.10  1.10E+00  7.13E-03 -1.19E-01  8.75E-02  1.43E-01  1.44E-01  3.94E-02  4.63E-02  2.67E-01  1.69E-01  1.00E+00  1.20E+00  1.00E+00  6.62E-03 -1.08E-01 -3.12E-03
  14.40  8.00E-01  2.52E-02 -9.07E-02  2.02E-01  2.04E-01  2.08E-01  4.56E-02  3.58E-02  2.45E-01  1.51E-01  1.00E+00  8.00E-01  1.00E+00  2.52E-02 -9.07E-02  2.02E-01
  14.70  1.20E+00  4.09E-02  3.71E-02 -2.75E-01 -2.56E-01 -2.52E-01  2.55E-02  4.76E-02  2.41E-01  1.50E-01  1.00E+00  1.40E+00  1.00E+00  3.67E-02  6.66E-02 -3.18E-01
  15.00  1.30E+00 -8.55E-02 -3.71E-01  1.90E-01  1.94E-01  2.10E-01  2.85E-02  4.54E-02  2.47E-01  1.50E-01  1.00E+00  1.30E+00  1.00E+00 -8.55E-02 -3.71E-01  1.90E-01
  15.30  1.10E+00  4.29E-02  1.54E-01 -1.35E-01 -4.09E-01 -4.16E-01  4.61E-02  3.35E-02  2.55E-01  1.56E-01  1.00E+00  1.20E+00  1.00E+00  2.43E-02  6.84E-02 -7.88E-02
  15.60  7.00E-01 -6.59E-02 -3.18E-01  4.07E-02 -1.79E-01 -1.70E-01  2.68E-02  2.54E-02  2.22E-01  1.25E-01  1.00E+00  7.00E-01  1.00E+00 -6.59E-02 -3.18E-01  4.07E-02
  15.90  8.00E-01 -1.63E-02 -3.83E-03 -3.76E-01  5.12E-01  5.09E-01  1.45E-02  5.09E-02  2.32E-01  1.39E-01  1.00E+00  1.10E+00  1.00E+00  7.70E-03  6.34E-02 -1.39E-01
  16.20  7.00E-01  6.56E-03  1.39E-01  2.83E-01  1.30E-01  1.38E-01  1.94E-02  1.35E-02  1.71E-01  8.55E-02  1.00E+00  8.00E-01  1.00E+00 -5.23E-03  5.47E-02  1.93E-01
  16.50  1.20E+00  5.45E-02  2.41E-01  2.94E-01  3.71E-01  3.80E-01  4.31E-02  2.59E-02  2.43E-01  1.46E-01  1.00E+00  1.40E+00  1.00E+00  5.20E-02  2.54E-01  1.91E-01
  16.80  9.00E-01  2.02E-02 -1.42E-01  2.44E-01 -2.05E-01 -1.96E-01  5.26E-02  4.08E-02  2.74E-01  1.76E-01  1.00E+00  1.30E+00  2.00E+00  3.05E-02 -3.83E-02  1.81E-01
  17.10  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  17.40  9.00E-01  4.67E-02  3.00E-01  6.18E-02  1.47E-01  1.50E-01  2.55E-02  3.12E-02  2.00E-01  1.18E-01  1.00E+00  9.00E-01  1.00E+00  4.67E-02  3.00E-01  6.18E-02
  17.70  3.00E-01 -1.85E-02 -5.56E-02  3.31E-01  4.20E-01  4.20E-01  2.75E-02  4.04E-03  1.70E-01  8.38E-02  1.00E+00  3.00E-01  1.00E+00 -1.85E-02 -5.56E-02  3.31E-01
  18.00  8.00E-01  5.49E-02  1.23E-01  7.23E-02  1.64E-01  1.66E-01  3.05E-02  5.30E-02  2.45E-01  1.52E-01  1.00E+00  1.00E+00  1.00E+00  4.70E-02  6.78E-02  7.02E-02
  18.30  1.60E+00 -7.67E-03  5.64E-02  4.27E-01 -1.27E-01 -1.35E-01  6.00E-02  1.70E-02  2.45E-01  1.51E-01  1.00E+00  1.70E+00  2.00E+00  1.86E-03  1.11E-01  4.59E-01
  18.60  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  18.90  8.00E-01  2.65E-02  3.71E-02 -2.83E-02 -6.41E-01 -6.46E-01  2.50E-02  2.69E-02  2.09E-01  1.22E-01  1.00E+00  8.00E-01  1.00E+00  2.65E-02  3.71E-02 -2.83E-02
  19.20  3.00E-01  1.80E-01  9.02E-01  6.47E-01  1.70E-01  1.69E-01  3.66E-02  1.47E-02  2.07E-01  1.16E-01  1.00E+00  4.00E-01  1.00E+00  1.54E-01  8.00E-01  3.56E-01
  19.50  5.00E-01  1.19E-01  2.54E-01 -8.52E-03 -1.99E-01 -1.96E-01  7.98E-02  2.84E-02  2.76E-01  1.78E-01  1.00E+00  5.00E-01  1.00E+00  1.19E-01  2.54E-01 -8.52E-03
  19.80  7.00E-01  2.77E-02  7.37E-02 -4.02E-01  2.86E-01  2.97E-01  1.53E-02  3.55E-02  2.14E-01  1.19E-01  1.00E+00  8.00E-01  1.00E+00  6.66E-03 -6.02E-02 -2.28E-01
  20.10  1.00E-01 -8.32E-02 -4.41E-01 -6.12E-01  4.65E-01  4.64E-01  6.92E-03  2.87E-02  1.89E-01  9.71E-02  1.00E+00  4.00E-01  1.00E+00 -7.67E-03 -6.95E-03  3.52E-02
  20.40  8.00E-01  1.08E-01  2.19E-01  3.31E-01  2.49E-01  2.59E-01  4.88E-02  1.26E-02  2.16E-01  1.19E-01  1.00E+00  1.00E+00  1.00E+00  1.31E-01  3.54E-01  3.87E-01
  20.70  7.00E-01  3.89E-02  2.01E-01 -3.78E-01 -2.28E-01 -2.28E-01  1.55E-02  2.94E-02  2.00E-01  9.47E-02  1.00E+00  8.00E-01  1.00E+00  6.54E-02  2.91E-01 -2.42E-01
